epoch,train_loss,val_loss,lr
1,0.217482,0.23736,0.0001
2,0.208036,0.228598,0.0001
3,0.203908,0.225956,0.0001
4,0.200997,0.220794,0.0001
5,0.198785,0.221857,0.0001
6,0.197204,0.225258,0.0001
7,0.195345,0.223401,0.0001
8,0.194116,0.2257,0.0001
9,0.193735,0.218547,0.0001
10,0.1919,0.221242,0.0001
11,0.190272,0.217371,0.0001
12,0.189777,0.223794,0.0001
13,0.189308,0.223099,0.0001
14,0.187701,0.22324,0.0001
15,0.186956,0.220916,0.0001
16,0.18704,0.217422,0.0001
17,0.18693,0.218554,5e-05
18,0.182549,0.215321,5e-05
19,0.180838,0.219968,5e-05
20,0.180517,0.218944,5e-05
21,0.179736,0.218393,5e-05
22,0.180895,0.217846,5e-05
23,0.17956,0.216865,5e-05
24,0.17812,0.214258,5e-05
25,0.178296,0.218598,5e-05
26,0.177225,0.215033,5e-05
27,0.177591,0.217301,5e-05
28,0.176075,0.217957,5e-05
29,0.176736,0.214863,5e-05
30,0.175079,0.217797,2.5e-05
31,0.172585,0.216353,2.5e-05
32,0.172366,0.213518,2.5e-05
33,0.171584,0.212463,2.5e-05
34,0.171099,0.213654,2.5e-05
35,0.171083,0.211168,2.5e-05
36,0.170718,0.21116,2.5e-05
37,0.170632,0.213543,2.5e-05
38,0.169708,0.216535,2.5e-05
39,0.169829,0.211318,2.5e-05
40,0.170276,0.211043,2.5e-05
41,0.169577,0.215942,2.5e-05
42,0.169572,0.215613,2.5e-05
43,0.168635,0.211459,2.5e-05
44,0.168389,0.213448,2.5e-05
45,0.168028,0.212978,2.5e-05
46,0.167884,0.214223,1.25e-05
47,0.166042,0.210305,1.25e-05
48,0.166826,0.212512,1.25e-05
49,0.165216,0.212686,1.25e-05
50,0.165507,0.212319,1.25e-05
51,0.166086,0.213062,1.25e-05
52,0.164757,0.211376,1.25e-05
53,0.165964,0.209819,1.25e-05
54,0.165415,0.211416,1.25e-05
55,0.164222,0.214304,1.25e-05
56,0.165098,0.213995,1.25e-05
57,0.164234,0.21303,1.25e-05
58,0.164505,0.211837,1.25e-05
59,0.164854,0.21796,6.25e-06
60,0.162667,0.212448,6.25e-06
61,0.163221,0.210713,6.25e-06
62,0.163045,0.209648,6.25e-06
63,0.16242,0.210428,6.25e-06
64,0.162651,0.210897,6.25e-06
65,0.162498,0.2139,6.25e-06
66,0.162901,0.211424,6.25e-06
67,0.162919,0.212417,6.25e-06
68,0.162631,0.212089,3.13e-06
69,0.162158,0.21167,3.13e-06
70,0.161497,0.212509,3.13e-06
71,0.160807,0.213003,3.13e-06
72,0.161333,0.21277,3.13e-06
73,0.161442,0.211393,3.13e-06
74,0.161347,0.21158,1.56e-06
75,0.160483,0.211606,1.56e-06
76,0.16125,0.211291,1.56e-06
77,0.160441,0.212927,1.56e-06
78,0.160965,0.211289,1.56e-06
79,0.161214,0.21138,1.56e-06
80,0.161464,0.212201,7.8e-07
81,0.16089,0.213118,7.8e-07
82,0.160564,0.211168,7.8e-07
83,0.16117,0.211601,7.8e-07
84,0.160778,0.211934,7.8e-07
85,0.161249,0.211223,7.8e-07
86,0.159946,0.211583,3.9e-07
87,0.161222,0.213493,3.9e-07
88,0.160487,0.212309,3.9e-07
89,0.161305,0.212397,3.9e-07
90,0.160793,0.211739,3.9e-07
91,0.160694,0.211096,3.9e-07
92,0.161188,0.212689,2e-07
93,0.160909,0.212083,2e-07
94,0.160393,0.211402,2e-07
95,0.160697,0.211602,2e-07
96,0.160542,0.210617,2e-07
97,0.16098,0.212,2e-07
98,0.160963,0.211149,1e-07
99,0.160234,0.212048,1e-07
100,0.161302,0.211541,1e-07
