epoch,train_loss,val_loss,lr
1,6.887989,6.929661,2e-05
2,6.93334,6.930918,2e-05
3,6.932872,6.931415,2e-05
4,6.932774,6.931727,2e-05
5,6.932681,6.931967,2e-05
6,6.932593,6.932151,2e-05
7,6.932028,6.932369,1e-05
8,6.932458,6.932428,1e-05
9,6.932451,6.932439,1e-05
10,6.932445,6.932442,1e-05
11,6.932444,6.932437,1e-05
12,6.932435,6.932443,1e-05
13,6.932438,6.93244,5e-06
14,6.93245,6.932446,5e-06
15,6.932449,6.932445,5e-06
16,6.932449,6.932445,5e-06
17,6.93245,6.93244,5e-06
18,6.932448,6.932444,5e-06
19,6.932447,6.932443,2.5e-06
20,6.932449,6.932444,2.5e-06
21,6.93245,6.932441,2.5e-06
22,6.932448,6.932447,2.5e-06
23,6.93245,6.932447,2.5e-06
24,6.93245,6.932444,2.5e-06
25,6.932448,6.932446,1.25e-06
26,6.93245,6.932446,1.25e-06
27,6.932451,6.932446,1.25e-06
28,6.932449,6.932445,1.25e-06
29,6.932449,6.932447,1.25e-06
30,6.93245,6.932443,1.25e-06
